product_handle,product_id,rating,author,body,created_at,photo_url,verified_purchase,reply,replied_at
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,4,Troy,It's very comfortable and I like the many adjustments you can make. The mesh is nice too so you're not hot during long sitting sessions. The only thing I don't like is the armrests are not soft and they feel a little too loose in their movement. I also could go without the constant click - clack every time the armrests move. Otherwise it's a very nice chair for the money.,2026-04-24,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Farres,"Love it

Took 1 hour to build
- supportive
- lots of customization 
- looks modern
- breatheable
- And (most importantly) comfortable",2026-04-25,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Rob,"Adjustable in everywhere, very comfortable",2026-04-25,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Sean,"A life saver for someone who sits for extended hours for work, or play. This chair has made all of the difference that I needed to make my work days more tolerable.",2026-05-27,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Michael,It feels amazing like describe in the description,2026-06-12,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,2,Sean,"Chair is super heavy yet the seat is only a thing stretched fabric and angled very for a comfortable seating position. Also the arms move around freely way too easily. Kinda floppy. The fixed adjustment positions are too far apart. It's either too much or not enough. Overall, i would not value this chair close to $400. Maybe $150.",2026-06-19,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,1,Christopher,"I would advice people to stay away from them. It came broken. And trying to get hold of them is a joke. Lucky if you get an email a day from them. And if you do, they are not helpful and are just horrible. Never again.",2026-06-25,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Jennifer,Instant relief for my lower back compared to other chairs.,2026-06-29,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Hoang,Comfy and easy to set up.,2026-07-06,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,4,FumiTaki,Love everything except for how easy it is to move the armrests,2026-07-07,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,1,찬희,"Several functions do not work properly, and I even sent videos showing the issues. However, they refused to provide a refund because I threw away the original box.

Buy with caution.",2026-07-09,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,4,Ahmed,The chair is good. The delivery and customer are not good responsive,2026-07-09,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Nechelle,"It was a bit much to put it together. But, once it was done and I sat in it, it was one of the best decisions I’ve ever made for support as a person who WFH.",2026-07-17,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Jessica,"Shipped fast, quality of the chair is amazing. So comfortable and supportive. Very easy to assemble. I was overwhelmed at first glance, but it really was an easy assembly. I bought this one for my home office. I’m actually thinking about buying a second one for my office at work.",2026-07-25,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Jorge,"I really appreciate the support I received by bringing this product to Canada, the wait does not matter if in the end the result is to see my daughter work protecting her back. It is rewarding as a father to buy this chair.",2026-07-28,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,4,Joseph,"Awesome, very comfortable for me. Perfect for warm or humid climates. Arm rest adjustments are great, but easily shift sometimes with barely touching. Assembly requires strength",2026-07-31,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,David,Easy assembly and super comfortable,2026-08-01,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,4,Rex,"Lots of features, easy to assemble and great value.",2026-08-10,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,2,Greg,"2.5 stars.

I really wanted to like the this chair and did a ton of research before purchasing. The build quality feels solid, and I was genuinely excited when it arrived. I put it together right away. Unfortunately, after spending several hours trying to adjust it and convince myself it would work, it simply doesn’t fit my body type.

I’m 6’2”, and while the chair is advertised as having features that automatically adapt to different body types, I found that many of those features didn’t adapt well to me. The seat was very uncomfortable, and the mesh felt surprisingly cheap, hard, and unforgiving compared with what I expected from a chair at this price point.

The armrests were another disappointment. They feel jerky and are impossible to keep in position. Instead of being a helpful adjustment feature, they constantly move and become distracting.

I gave it several hours and tried every adjustment, but the more time I spent in it, the less comfortable I became. I will be returning it.",2026-08-16,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Ernesto,The lumbar support is amazing.,2026-08-18,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Rob,Took some fiddling to get together but truly ergonomic when assembled.,2026-08-18,,,,
sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,10264258281763,5,Katrina,I love this office chair. I am 5 foot two and it’s very difficult to find a chair of that is ergonomic and fits my height well. This chair will extend for somebody that’s much taller. It’s very versatile. I love the support that it has for your back feels high-quality and it came with a pair of white gloves which I thought was a nice touch.,2026-09-06,,,,
