product_handle,product_id,rating,author,body,created_at,photo_url,verified_purchase,reply,replied_at,source_note
sihoo-doro-s100-ergonomic-office-chair,10184342208803,3,Kevin,"This item has not been delivered as shipping indicates.

Customer service responded with update on shipping.",2024-01-06,,,,,sihoo.com (US) Okendo review 968d6e61-edd2-42ce-848b-517e2cdd8918
sihoo-doro-s100-ergonomic-office-chair,10184342208803,5,Robert G.,Excellent chair! Comfy and efficient.,2024-01-22,,TRUE,,,sihoo.com (US) Okendo review 65261f6c-0dc5-4bb1-9ae9-0e1a03c45755
sihoo-doro-s100-ergonomic-office-chair,10184342208803,5,K P.,This office chair is one of the best ones I've come across. It provides great back support and allows me to sit for hours at a time without issue.,2024-01-27,,TRUE,,,sihoo.com (US) Okendo review 9d25e2bf-f52e-48c4-a116-48ae98f3ef3e
sihoo-doro-s100-ergonomic-office-chair,10184342208803,4,Jonny,"This chair has one of the most comfortable lumbar supports I've encountered, and I've owned several similar chairs over the years and have used many Herman Miller chairs at work over the years. This chair also has some good features in terms of adjustable armrests, seat bottom depth, etc., so you can really tailor your seating position to find comfort. That having been said, the seat bottom cushion itself made my bottom numb in about 30 minutes and the armrests are a little too easy to reposition which becomes annoying when you want to adjust your seating position by leaning on them for leverage as they slide out of position. This frankly is not materially different from my experience with a Herman Miller chair, so when you consider the price point of this one, you're getting a comparable chair for a fraction of the price, which makes it definitely something to consider. I've paired mine with a memory foam seat cushion and it's doing quite well for me.",2024-02-01,,TRUE,,,sihoo.com (US) Okendo review a1e1de77-babb-4bba-b15b-d4be30081f70
sihoo-doro-s100-ergonomic-office-chair,10184342208803,5,Joke_3,"Putting together this futuristic-looking office chair was fairly straightforward, with clear instructions and various adjustment options for comfort. The lumbar support is commendable, but the price seems steep.",2024-02-02,,TRUE,,,sihoo.com (US) Okendo review 60fe365a-5fcb-4466-ad88-bb062ad3a9a6
sihoo-doro-s100-ergonomic-office-chair,10184342208803,5,Chris,"I??ve spent a lot of time in office chairs during my 30+ year career.  So I would consider myself an expert at sitting and know the difference between quality and crap.  Let me be clear the S100 is a quality product.  Assembly took me about 45 minutes using a clutched drill/driver, this included unpackaging but not disposal.  The parts came well laid out and labeled making assembly pretty easy.  Things I like:  Multiple adjustment options, you get normal adjustment and movement features as well as a few extras that set this chair apart from your garden variety sub $200 chair.  The armrests have a ton of adjustment features that I have only experienced with a few chairs that I have sat in (typically in an executive board room).  They can be moved vertically, rotated in the horizontal plan and moved laterally front to back, for you Trekkies this is the captain Kirk style battle stations or Full Alert position.  While lacking a headrest the whole back of the chair above the comfy lumbar support can move up and down where you need it (making a headrest unnecessary in my opinion).  I also like that the seat base can move forward and backward, making for a very comfortable seat if you are watching a training video, in a long meeting or taking a power nap during your lunch break.  The recline feature is similar to other higher end chairs I have sat in, it allows you to either lock it in place or lets you rock in place (for those fidgeters out there).  Even though the recline lacks a tensioner I thought the tension was just right.  Like most office chairs the seat will rotate on its chrome base and move around on standard office chair casters.  As far as comfort goes, the mesh is a heavy rubber coated style of fabric that seems durable and has an appropriate amount of give.  Lumbar support is awesome, probably the best I??ve experienced, the dual pads are spring loaded and conform to your body.  The chrome base jazzes everything up and makes this chair look really good.  I can definitely see this in an executive board room or other power broker setting.  The only things I would improve upon would be an extendable foot rest and roller blade style casters, other than that this thing is top notch and worth the premium.  Definite thumbs up from this office chair guru, go get some.",2024-02-06,,TRUE,,,sihoo.com (US) Okendo review 143973b0-c654-45a4-a194-2e3c08610bfc
sihoo-doro-s100-ergonomic-office-chair,10184342208803,4,James,"This is definitely a quality chair suitable for anyone spending a lot of time sitting in front of a computer screen, whether for work or gaming. Some assembly is required, which takes about 30-45 minutes, depending on your proficiency. Once assembled, it looks impressive and offers good support, which is crucial for those sitting for long periods. Whether the somewhat high price is justified is up to individual judgment.",2024-02-07,,TRUE,,,sihoo.com (US) Okendo review 72d13237-9e67-454d-8fb3-a79b858bbc07
sihoo-doro-s100-ergonomic-office-chair,10184342208803,5,J.A,"Upon laying eyes on this office chair, I immediately fell for both its style and the claimed ergonomic features. Since I was in the market for a replacement for my tired old office chair, I decided to give this one a shot to see if it lived up to its promising specs.",2024-02-08,,TRUE,,,sihoo.com (US) Okendo review dddfda8e-d970-4597-8653-e5cf9ae593a7
sihoo-doro-s100-ergonomic-office-chair,10184342208803,5,James,Chair is very well designed and fits modern interiors very nicely Highly Recommend,2024-02-08,,TRUE,,,sihoo.com (US) Okendo review 873973e8-d688-49ee-9927-d9da8aba3f62
sihoo-doro-s100-ergonomic-office-chair,10184342208803,5,Y@d!,"The chair assembled similar to most office chairs and feels quite sturdy.  I would say that is typical of a mid-range mesh style office chair.  It is comparable to other office chairs of that style that I have used, but didn't have as much adjustment as I thought it would for things like lumbar support.  It barely goes low enough for me to sit in (5' 1"" tall), but it is workable.

If you don't like having the arm rests in place sometimes, you have to choose to either install them or leave them off -- they do not fold out of the way.  They do adjust front to back, in and out, and up and down though.  The back adjusts up and down as well, but there is no head rest.  The lumbar support seems comfortable but is not adjustable.

Overall, this is a decent adjustable chair but quite pricey for the feature set.",2024-02-13,,TRUE,,,sihoo.com (US) Okendo review 632a629c-ae3f-46f4-8d3b-7e696860ad4f
