product_handle,product_id,rating,author,body,created_at,photo_url,verified_purchase,reply,replied_at,source_note
sihoo-m59as-ergonomic-office-chair,10184342307107,5,Hurley,"As the description states, the cushion and back of this chair is made of a dragon mesh, providing a comfortable and durable, ventilated and breathable seat.  The arm rests can be adjusted 90 degrees which allows the chair to move freely under a desk.  A lumbar pillow is attached to the back and provides comfort for your back when setting for long periods of time.  This chair is easy to assemble.  The hardware (screws, washers, etc) are packed in a card making the parts easy to identify.  The instruction booklet explains every step in the assembly process.  This chair provides a comfortable seat for office, home or just to rest and relax.",2024-10-29,,TRUE,,,sihoo.com (US) Okendo review be8fc210-c2c9-459d-89cd-a022d7eddab6
sihoo-m59as-ergonomic-office-chair,10184342307107,5,Donald L.,"My wife's computer chair needed replacing, so I thought I would get her this one.  Excellent choice.  This chair is very well made out of good quality materials.  Fit and finish are excellent.  Assembly is simple using the included T-handle hex wrench.  The instructions are well written with clear illustrations.  Assembly hardware is bubble packed with each step packed together and clearly marked.  Each step also includes a spare nut or bolt.  This chair is very well designed and engineered.  Has adjustable height, headrest,  and armrests.  Built-in lumbar support.  It even has a hangar for a coat on the rear of the chair.  Very comfortable for extended sitting. If I could I would give it six stars.  Very highly recommended. 5 stars.",2024-10-30,https://media-dynamic.okendo.io/images/eb1bc8c6-9e12-4255-bc70-775461000354/0bf9fe63-6e78-4b4e-8ebc-4e2c4afd3e79.jpg,TRUE,,,sihoo.com (US) Okendo review 7a3ef787-4233-4ab5-b73d-180183e7ed70
sihoo-m59as-ergonomic-office-chair,10184342307107,4,Bill in T.,Once assembled the SIHOO M59AS Ergonomic Office Chair is very comfortable.  The tension of the ease of leaning back can be adjusted by the adjustment knob located at the bottom of the seat.  The two side arms can be raised so as to make the chair a side less desk chair.  The mesh seat and back are comfortable and do provide support but be aware what they are not as cushy as one might be accustomed to so an additional seat cushion might be wanted by some.  The lumbar support is adequate and a nice feature.It comes in a very large box that protects the inner box that actually contains the contents of the chair parts.  it is well packed.  It contains all the parts and instructions and the instructions are well written and easy to follow.  It even has the necessary tool for putting the chair together.  While I was able to assemble the chair by myself (even with severe arthritis is one hand) it would have been easier to have a 2nd person to assist.I do find that the tilting and rocking of the back is a little difficult to find the correct position to find the perfect angle for my liking and it doesn't take too much backward pressure to loose its lock in holding that said position. But that is not a deal stopper in my enjoyment in using this chair.,2024-10-30,,TRUE,,,sihoo.com (US) Okendo review 1157be47-5fb3-4cba-be84-607eb915902f
sihoo-m59as-ergonomic-office-chair,10184342307107,5,LVGoodguy,"The SIHOO M59AS Ergonomic Office Chair has completely upgraded my workspace! The 3D flip armrests are a great feature, allowing me to position them perfectly for typing or flip them up to save space. The 3D headrest provides excellent neck support, which has really helped reduce neck strain during long work sessions.The adjustable lumbar support and seat height ensure a custom fit, and the chair is incredibly comfortable, with a design that keeps my posture in check. The materials feel durable, and the chair is solidly built without being too heavy to move. This chair has everything I need for comfort and support, making it well worth the investment. Highly recommend for anyone looking for an ergonomic, high-quality chair!",2024-10-31,,TRUE,,,sihoo.com (US) Okendo review a2995487-d07d-49c2-9bc0-575e07711a3e
sihoo-m59as-ergonomic-office-chair,10184342307107,4,KBENNETT,"This was relatively easy to assemble which was a plus. The breathable mesh fabric is great for not retaining heat. I like the arm rests that can lift out of the way when you don't want to use them. The lumbar support and head rest are nice but not adjustable so they may not fit your body well depending on your height and build. The lumbar support is comfortable for me at 5'4 but not as much for my 6'3 husband. The head rest is too tall for me but perfect for my husband. I am also unsure how well it hold up over time for regular use by a person who weighs more than 160 pounds. It's fine for me but my larger husband has noticeable seat sagging, he's 230 pounds.  It's a decent chair but the not at this price point. If you catch it on sale or with a good coupon it's a worthy purchase but not at  full price which was $249.99 at time of review.",2024-11-01,,TRUE,,,sihoo.com (US) Okendo review 8b06b0ff-becf-4d44-aa2b-5121676652fc
sihoo-m59as-ergonomic-office-chair,10184342307107,5,Optimus P.,"I got this desk chair for my home office, to replace a worn one.  I wanted something that was comfortable and offered support for my back and neck, so I do not get sore while sitting all day at the home office.  I also wanted mesh, so it breathed.This chair is well designed.  It has mesh in the back section, to keep one's back from sweating while seated for hours at work, and the seat is mesh, so cooler there as well.  It has decent lumbar support, so one's back does not get sore (a real plus), and even a headrest that goes high enough to actually lay one's head on.  This is good to keep away the neck pain you can get from short chairs that do not offer neck support.This chair leans nicely if one wants to rest a bit (combined with the mentioned neck and lumbar support to let one rest and wake up not being sore).  It has a little bar in the back to drape one's suit jacket on.  So, they would work well even in a professional office.  As I am in a home office and wearing shorts while I work, I will never use it, but it is there nonetheless, and a thoughtful addition for the professional.For $249, the price is good for the quality you get.  Assembly took about 10 minutes. While they even give you the required Allen wrench in the kit, I recommend using an impact driver on the lowest setting with a 5mm hex bit (all the screws are the same 5mm head).  That really makes assembly easy.",2024-11-01,https://media-dynamic.okendo.io/images/eb1bc8c6-9e12-4255-bc70-775461000354/3fa290b7-e5b6-469f-a121-7f4d5c2c18b1.jpg,TRUE,,,sihoo.com (US) Okendo review 7e3d0289-120a-41e7-af3e-6582a3993e5f
sihoo-m59as-ergonomic-office-chair,10184342307107,5,Saundra W.,"This has light, airy mesh that is surprisingly supportive. The arms are fully adjustable and can even be flipped up to go under desk. It was quite easy to put together. The chair is very sturdy and holds weights up to 330 pounds. It's a bit pricey but I believe it's worth the money for the comfort.",2024-11-03,,TRUE,,,sihoo.com (US) Okendo review 5b07dd47-747b-4cc5-95a0-c66aa884a4b4
sihoo-m59as-ergonomic-office-chair,10184342307107,5,Rachel,"I've been looking for like the perfect office chair for a long time. I'm tall with long legs, and I thought I preferred a very comfortable chair over a modern ergonomic kind. But this chair changed my mind. I really didn't have high expectations for it. But after sitting in it for several days, I can now confidently say that it's replaced my upright drafting chair, and even my Haworth Very chair valued at $600. The adjustability is its key feature, with lots of headrest adjustment, arm rest forward and backward, flipped up or down, and the standard height + tilt lock and tension adjustments. For me, I was at first confused by the unadjustable lumbar rest, but they have this unique spring loaded mechanism that kinda lets the lumbar support conform to your back even without adjusting it up or down. Overall, I've experienced less pain in this chair than any other office chair I've used thus far. And I think I've tried out like 6 different office chairs long term.I would say the quality meets a $200 chair, especially the mesh having nice patterning to it. This is not a cushiony chair. This is an ergonomic chair that may help you not feel pain after a day of sitting.",2024-11-04,https://media-dynamic.okendo.io/images/eb1bc8c6-9e12-4255-bc70-775461000354/3705a38c-6547-4c85-a967-ba8c680ecdb1.jpg,TRUE,,,sihoo.com (US) Okendo review 7208cac0-2376-4ed2-b459-539909c814f5
sihoo-m59as-ergonomic-office-chair,10184342307107,5,hjh,"I like it. Its excellent if your looking for adjustability and support. Its particularly good if you need reliable lumbar support. It also has customizable are and head rest options. If your looking to be more productive and comfortable while your doing it, This is it~! Recommended~!",2024-11-04,,TRUE,,,sihoo.com (US) Okendo review 6d26798d-2ee7-4a09-8930-0129fcd420a9
sihoo-m59as-ergonomic-office-chair,10184342307107,5,Derek,I find the bottom very comfortable. I've read other comments that they didn't but I most definitely do.  It is just a webbing material but it is strong and I fit nicely into it.  I like the lower lumbar support.  Everything about this chair is really nice too me.  I did think the arms didn't extend enough but you can pull them out and even adjust the angle of them.  It rolls decently.  I am on hardwood and have no issues.  Very easy to put together.  I think it is 4 sets of screws and comes with a nice t handle Allen wrench to get the job done.  I'm 6'2 and weigh 265 lbs and I'm telling you this thing handles me well.  I'm very pleased with it.  The back reclines pretty far I could easily kick my feet up on something and go to sleep comfortably.  I like the design in the webbing the chair is made up with.  It is expensive but I wouldn't be mad sitting in this working for hours.,2024-11-05,"https://media-dynamic.okendo.io/images/eb1bc8c6-9e12-4255-bc70-775461000354/84edc7a2-4505-4b76-8325-f9042fe83294.jpg,https://media-dynamic.okendo.io/images/eb1bc8c6-9e12-4255-bc70-775461000354/c16249dc-22d0-4cc8-8248-ab5fb55b1ff9.jpg",TRUE,,,sihoo.com (US) Okendo review 9210b0df-8c65-40b0-97f8-701cec7a867f
