row,product_handle,created_at,author,rating,source
1,sihoo-b100-ergonomic-office-chair,2026-07-14,Sophie J.,5,79b5b0c3-2625-4b24-926f-c384766df52b
2,sihoo-b100-ergonomic-office-chair,2026-07-13,Alexandra H.,5,99c7368a-e812-4b3f-9c17-0a12c8381fb2
3,sihoo-b100-ergonomic-office-chair,2026-07-12,Savannah E.,5,35404e9e-5a80-404b-8cc6-a6cc33f6274f
4,sihoo-b100-ergonomic-office-chair,2026-07-11,Colton B.,5,6ad3752e-2359-4dac-aa30-2d4ee386d8dc
5,sihoo-b100-ergonomic-office-chair,2026-07-11,Vincent O.,5,83e84928-daf7-4f20-aa40-789ece1b8504
6,sihoo-b100-ergonomic-office-chair,2026-07-10,Penelope C.,5,2938d061-1957-4db7-84e9-6b30a81cd760
7,sihoo-b100-ergonomic-office-chair,2026-07-10,Elias R.,5,4ad8dbf7-fad5-4a44-84ad-5b3532cec033
8,sihoo-b100-ergonomic-office-chair,2026-07-09,Mila K.,5,65dd36b8-e1a7-4193-88e1-6390f0e77543
9,sihoo-b100-ergonomic-office-chair,2026-07-09,Connor R.,5,69e0f158-a155-4197-84d9-a96accc8e007
10,sihoo-b100-ergonomic-office-chair,2026-07-09,Caiden F.,5,6c01defb-34d7-46e9-af72-364e683de90d
11,sihoo-b100-ergonomic-office-chair,2026-07-09,Leonardo P.,5,7956f7b3-57f3-4567-9fcf-46de7a4e49a6
12,sihoo-b100-ergonomic-office-chair,2026-07-09,Bryson B.,5,7d4c24af-87ed-4fb0-a086-5faf7274e68e
13,sihoo-b100-ergonomic-office-chair,2026-07-09,Ariana J.,5,bd829a42-909e-463f-b413-cb11909b6e57
14,sihoo-b100-ergonomic-office-chair,2026-07-09,Aaliyah S.,5,63497b85-0b32-4af4-a305-65c64649b717
15,sihoo-b100-ergonomic-office-chair,2026-07-08,Karter H.,5,d3f2fb58-7d08-41fb-9136-f3006446c3f0
16,sihoo-b100-ergonomic-office-chair,2026-07-08,Gage W.,5,08ef1e9d-7856-431d-b723-f4c1a85a5703
17,sihoo-b100-ergonomic-office-chair,2026-07-07,Alice P.,5,a204aa23-4e5a-48a7-908b-0cc70da931f0
18,sihoo-b100-ergonomic-office-chair,2026-07-06,Colton L.,5,301d9e1d-b3e7-4c7c-bc75-d3f3e254d9a7
19,sihoo-b100-ergonomic-office-chair,2026-07-05,Alyssa P.,5,03598414-d651-428d-bb6c-54bc10d59e3c
20,sihoo-b100-ergonomic-office-chair,2026-07-05,Declan P.,5,e01e3d76-7b16-4563-ab40-9dce44cc0620
21,sihoo-b100-ergonomic-office-chair,2026-07-03,Ivy H.,5,80deebc0-9bf9-42e2-a3eb-77ca692928c0
22,sihoo-b100-ergonomic-office-chair,2026-07-01,Clara S.,3,9118e913-7af1-45d6-8b15-fdd9bc74aa08
23,sihoo-b100-ergonomic-office-chair,2026-06-30,Sadie S.,3,f4b4f25f-35e9-4753-ac78-ba2326b9e994
