row,product_handle,created_at,author,rating,source
1,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-04-24,Troy,4,sihoo.com (US) Okendo review c5e87ca2-3341-4ef7-bb3a-863722d9bb2c
2,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-04-25,Farres,5,sihoo.com (US) Okendo review 5aff5a25-f507-4e41-9f19-2c9acc84ca27
3,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-04-25,Rob,5,sihoo.com (US) Okendo review 2da1bc66-30eb-490d-99b6-c3896183a4cf
4,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-05-27,Sean,5,sihoo.com (US) Okendo review dd84165d-c483-41ba-9dc0-2fed36ca207d
5,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-06-12,Michael,5,sihoo.com (US) Okendo review c7387bd1-6bdd-4037-a46a-6fd28244f1ab
6,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-06-19,Sean,2,sihoo.com (US) Okendo review aa9d5aad-6e87-470b-95cf-6348805412e6
7,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-06-25,Christopher,1,sihoo.com (US) Okendo review 0385f50d-1e2b-459e-b800-a36ff3509c38
8,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-06-29,Jennifer,5,sihoo.com (US) Okendo review 27a37912-cdc1-4f80-b461-9f16b8cef185
9,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-07-06,Hoang,5,sihoo.com (US) Okendo review 8a5cc46d-8be9-42c8-bc86-f88eee38c214
10,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-07-07,FumiTaki,4,sihoo.com (US) Okendo review 0f23a810-e06c-4f3b-830a-cd1bc6540f9b
11,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-07-09,찬희,1,sihoo.com (US) Okendo review d241b9d7-1038-4f43-be8e-46c5bbc33275
12,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-07-09,Ahmed,4,sihoo.com (US) Okendo review 327cdb77-ad24-404a-bc08-f2e840eb943e
13,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-07-17,Nechelle,5,sihoo.com (US) Okendo review 9adf111b-daba-4730-9268-e5f6360783cf
14,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-07-25,Jessica,5,sihoo.com (US) Okendo review 1e253e6e-324c-4219-9507-2e78919297b1
15,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-07-28,Jorge,5,sihoo.com (US) Okendo review 175b286d-cab6-4125-af62-c7513c7b1adf
16,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-07-31,Joseph,4,sihoo.com (US) Okendo review d560c7b1-ac4c-4311-a87b-6020e5959f6b
17,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-08-01,David,5,sihoo.com (US) Okendo review 6a9a3fe9-5b9f-40f6-b5a7-105bcaaf6c9d
18,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-08-10,Rex,4,sihoo.com (US) Okendo review 8bc0a1bb-7938-4e7d-9085-91bd28f4b60d
19,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-08-16,Greg,2,sihoo.com (US) Okendo review f6b25efb-305f-4c9c-8a00-698a323bff40
20,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-08-18,Ernesto,5,sihoo.com (US) Okendo review 5b096732-689e-4153-8341-3933ab171140
21,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-08-18,Rob,5,sihoo.com (US) Okendo review bb174fb6-3674-4f23-9695-b6380854a8e7
22,sihoo-a3-doro-c300-pro-v2-ergonomic-office-chair,2026-09-06,Katrina,5,sihoo.com (US) Okendo review 472c8cb8-4a84-42d1-b7d3-9e6566b6c8ab
