Handle,Title,Metafield: specs.family [single_line_text_field],Metafield: specs.user_height_min_cm [number_integer],Metafield: specs.user_height_max_cm [number_integer],Metafield: specs.max_load_kg [number_integer],Metafield: specs.seat_height_min_cm [number_decimal],Metafield: specs.seat_height_max_cm [number_decimal],Metafield: specs.seat_width_cm [number_decimal],Metafield: specs.seat_depth_min_cm [number_decimal],Metafield: specs.seat_depth_max_cm [number_decimal],Metafield: specs.overall_height_min_cm [number_decimal],Metafield: specs.overall_height_max_cm [number_decimal],Metafield: specs.recline_positions_deg [list.number_integer],Metafield: specs.net_weight_kg [number_decimal],Metafield: specs.armrest_type [single_line_text_field],Metafield: specs.armrest_detail [multi_line_text_field],Metafield: specs.lumbar_detail [multi_line_text_field],Metafield: specs.headrest_detail [multi_line_text_field],Metafield: specs.mechanism [multi_line_text_field],Metafield: specs.mesh_material [multi_line_text_field],Metafield: specs.seat_cushion [single_line_text_field],Metafield: specs.suspension [boolean],Metafield: specs.gas_lift_class [single_line_text_field],Metafield: specs.certifications [list.single_line_text_field],Metafield: specs.warranty_years [number_integer],Metafield: specs.data_source [single_line_text_field],Metafield: specs.needs_confirmation [multi_line_text_field]
sihoo-m18-ergonomics-task-office-chair,SIHOO M18 Ergonomic Office Chair,Core Ergonomic (M/V),150,190,150,43,53,51,42,42,107,121,"[109, 122, 134]",18.5,2D,"2D armrest:
Up and down: 7 CM
Front and back: 6 CM
Left and right: 15.2°
Linked Recline","Up and down: 4 CM
Front and back: 2 CM","2D headrest（Double joint）:
Up and down: 11CM,8 level
Headrest rotation: 45°
22° up/down flip","Self-weighted design, supports lift, large-angle recline, and multi-position locking; 3 lockable recline positions",Polyester Mesh Fabric，High Toughness & Tensile Strength，Wear-Resistant,Fabric cushion,TRUE,,,3,AU sc_attributes 메타필드,"US 스펙과 상이: 시트 깊이 AU 42 / US 45.5cm, 순중량 AU 18.5 / US 16.8kg
갤러리 영상 없음"
sihoo-m57-ergonomic-office-chair,Sihoo M57 Ergonomic Office Chair,Core Ergonomic (M/V),150,190,150,43.5,53.5,51,46,46,110,127.5,"[110, 116, 126]",18.9,3D,"3D armrest:
Up and down: 7 CM
Front and back: 6 CM
Armrest surface left and right: 35°","Up and down: 5 CM
Front and back: 4 CM","2D headrest:
Up and down: 8CM
Headrest rotation: 45°","Single-lever control, thickened explosion-proof steel, adjustable lift and recline tension","PE + polyester mesh, wear-resistant, UV-resistant, and breathable suspension system",YES,TRUE,,"[""BIFMA"", ""SGS""]",3,AU sc_attributes 메타필드,갤러리 영상 없음
sihoo-v1-ergonomic-office-chair,Sihoo V1 Ergonomic Office Chair,Core Ergonomic (M/V),150,190,136,47.5,57,53,44.5,49.5,116,137,,22.6,4D,4D,4D cushioned lumbar support,3D headrest,/,Breathable mesh,Breathable mesh,FALSE,,,3,AU sc_attributes 메타필드,"리클라인 원문 '	
0°-9°-18°-27°' 는 틸트 각도 표기 → 좌석 기준 각도로 재확인
메커니즘 값 없음
이미지 alt 누락 1/31"
sihoo-m16-ergonomics-office-chair,SIHOO M16 Ergonomics Office Chair,Core Ergonomic (M/V),150,190,150,44.5,54.5,51,45,46,107,130,"[110, 116, 130]",14.6,2D,"2D non-adjustable lumbar support:
Up and down: Non-adjustable (Fixed at standard desk elbow height)
Front and back: Non-adjustable
Left and Right (Width/Swivel): Non-adjustable (Curved design for steady arm placement)
Overall Armrest Outer Width: 60.0 cm","Up and down: 4 CM
Front and back: 2 CM",Height- and angle-adjustable headrest,Thickened explosion-proof mechanism with adjustable tilt tension and 3 recline positions,Breathable polyester mesh backrest with high tensile strength and improved airflow,W-shaped 8.5 cm thickened foam seat cushion with breathable elastic mesh,,,,3,AU sc_attributes 메타필드,갤러리 영상 없음
sihoo-m56-ergonomic-office-chair,SIHOO M56 Ergonomics Office Chair,Core Ergonomic (M/V),150,190,136,43,52.5,50,40.5,40.5,103.5,125.5,"[105, 135]",12.52,2D,"2D armrest:
Up and down: 7 CM",Up and down: 3.5CM,"2D headrest:
Up and down: 7.5CM
Headrest rotation: 45°","Cold-rolled mechanical tension spring + mechanical steel multi-functional mechanism, double-lever control explosion-proof mechanism, adjustable lift/recline tension, infinitely lockable recline","Polyester mesh, colorfast, pressure-resistant, tear-resistant",Fabric cushion,TRUE,,,3,AU sc_attributes 메타필드,갤러리 영상 없음
sihoo-m59-ergonomic-office-chair,SIHOO M59 Ergonomics Office Chair,Core Ergonomic (M/V),150,180,136,42.5,51,46.5,44.5,44.5,93.5,102,"[100, 120]",11.5,,Up and down: 80º,Up and down: 3CM,/,"Single-handle thickened explosion-proof mechanism, 4 gears of recline adjustment, adjustable lift and recline tension","PE + polyester special mesh, colorfast, high tensile strength, wear-resistant, non-toxic, corrosion/chemical resistant, UV-resistant, highly breathable",YES,TRUE,,"[""BIFMA"", ""SGS""]",3,AU sc_attributes 메타필드,"팔걸이 유형 미표준: 'Up and down: 80º' → 1D/2D/3D 로 분류
헤드레스트 값 없음(없는 모델이면 ""없음"" 명시)
갤러리 영상 없음"
sihoo-m57-ergonomic-office-chair-with-built-in-footrest,Sihoo M57 Ergonomic Office Chair with built-in footrest,Core Ergonomic (M/V),150,190,150,43.5,53.5,51,46,46,110,127.5,"[110, 116, 126]",19.9,3D,3D,"Up and down: 5 CM
Front and back: 4 CM","2D headrest:
Up and down: 8CM
Headrest rotation: 45°","Single-lever control, thickened explosion-proof steel, adjustable lift and recline tension","PE + polyester mesh, wear-resistant, UV-resistant, and breathable suspension system",YES,TRUE,,"[""BIFMA"", ""SGS""]",3,AU sc_attributes 메타필드,갤러리 영상 없음
sihoo-vito-m90-ergonomic-office-chair,Sihoo VIto M90 Ergonomic Office Chair,Core Ergonomic (M/V),150,190,136,46,55,51,46,46,107,130,"[110, 116, 126]",21.2,2D,2D,Dual lumbar support,/,/,Breathable mesh,Full mesh cushion (Soft sponge cushion available with M90D model),FALSE,,"[""BIFMA"", ""SGS""]",3,AU sc_attributes 메타필드,"메커니즘 값 없음
헤드레스트 값 없음(없는 모델이면 ""없음"" 명시)
갤러리 영상 없음"
sihoo-a3-doro-c300-ergonomic-office-chair,Sihoo A3 DORO-C300 Pro Ergonomic Office Chair,Doro Series,150,190,150,44,54,51,42.5,45,106,127,"[105, 120, 135]",24.2,6D,"6D armrest:
Up and down: 6.5 CM
Up and down:  35°
Front and back: 5 CM
Left and right: 75°
PU Armrest Surface Left and right:5 positions
Linked Recline",Adaptive PA+ fiber lumbar pillow with strong support,"Wide Adjustable 3D headrest:
Up and down: 5CM
Front and back:2.5
Headrest rotation: 35°
Bracket rotation: 45°",Self-weighting chassis with 3-position lock; backrest angle range 105°–135°,"High-elastic wave mesh, breathable, oil and stain resistant Suspension system",Waterfall Mesh Seat with 4 cm,,SGS Class 4,"[""BIFMA"", ""SGS""]",3,AU sc_attributes 메타필드,"리클라인 원문 '1105°' 오타 → 105°로 정정
갤러리 영상 없음"
desker-height-adjustable-dual-motor-sit-stand-desk,Desker Height Adjustable Dual Motor 3 Stage Electric Sit Stand Desk,Standing Desk,,,,,,,,,,,,,,,,,,,,,,,3,AU sc_attributes 메타필드,"메커니즘 값 없음
헤드레스트 값 없음(없는 모델이면 ""없음"" 명시)
데스크: 의자 스펙 스키마 미적용 → specs_desk.* (상판 크기·높이 범위·모터·하중) 별도 정의
갤러리 영상 없음"
